UID          PID    PPID  C STIME TTY          TIME CMD
jonah       1830    1386  0 11:20 ?        00:00:00 /usr/libexec/ibus-portal
jonah       1910    1386  0 11:20 ?        00:00:00 /usr/libexec/gsd-printer
jonah       1911    1747  0 11:20 ?        00:00:00 /usr/libexec/ibus-engine-simple
jonah       1937    1386  0 11:20 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
jonah       1949    1386  0 11:20 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
jonah       2023    1386  0 11:20 ?        00:00:00 /usr/libexec/gvfsd-metadata
jonah       2036    1386  0 11:20 ?        00:00:00 /usr/bin/python3 /usr/bin/gnome-terminal --wait
jonah       2038    2036  0 11:20 ?        00:00:00 /usr/bin/gnome-terminal.real --wait
jonah       2043    1386  0 11:20 ?        00:00:04 /usr/libexec/gnome-terminal-server
jonah       2061    2043  0 11:20 pts/0    00:00:00 bash
root        2098       2  0 11:21 ?        00:00:00 [kworker/4:3-events]
jonah       2102    1523  0 11:21 ?        00:00:00 update-notifier
root        2400       1  0 11:25 ?        00:00:02 /usr/lib/snapd/snapd
root        3108       2  0 11:25 ?        00:00:00 [kworker/3:0-cgroup_destroy]
jonah       3480    1545  0 11:33 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:0:0:0
root        3526       2  0 11:33 ?        00:00:00 [kworker/0:1-inet_frag_wq]
root        3590       2  0 11:38 ?        00:00:00 [kworker/u10:1-flush-8:0]
jonah       3602    1386  1 11:41 ?        00:00:04 /usr/bin/nautilus --gapplication-service
root        3629       2  0 11:41 ?        00:00:00 [kworker/u10:2-events_unbound]
root        3639       2  0 11:42 ?        00:00:00 [kworker/2:0-mm_percpu_wq]
root        3640       2  0 11:42 ?        00:00:00 [kworker/3:2-events]
root        3710       2  0 11:42 ?        00:00:00 [kworker/1:0]
root        3711       2  0 11:42 ?        00:00:00 [kworker/1:3-events]
root        3712       2  0 11:42 ?        00:00:00 [kworker/0:0-events]
jonah       3926    1545  0 11:45 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.BOXY71 -listen 4 -listen 5 -displayfd 6 -initfd 7
jonah       3930    1386  0 11:45 ?        00:00:00 /usr/libexec/gsd-xsettings
jonah       3957    1386  0 11:45 ?        00:00:00 /usr/libexec/ibus-x11
jonah       4397    2061  0 11:46 pts/0    00:00:00 ps -ef
